origin_id,origin_class,origin_label,type_id,type_class,type_label,value_id,value_class,value_label
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,6d8709ca-a15d-436c-af05-1dc079726ff9,P,Willelmus Monerii
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,ad9ef22b-b174-4f56-8d13-2ddefc4986fe,P,Willelma
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,6414edd4-715f-4763-9f73-322b6b6afa44,P,Sicarda
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,9158ed80-56b8-447e-8baa-77ccfb84562a,P,Arnaldus Willelmi
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,b5c6c9fe-c001-4588-8d0e-c3890618739a,P,Lombarda
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,7f629126-3bc9-4303-8d23-35790c29f3b6,P,Raymundus de Planissolas
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,a5fee5f2-c362-45ce-82b4-2a3ad502d454,P,Guillaume de Planissoles
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,9f8e68a7-d153-4162-871f-48fe2eccacbb,P,Ermengarda d'Alvernhe
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,eb5a81fd-677a-49e1-a02c-8c12e37bfd34,P,P[etrus] Mercer de Luzenac
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,caa235f3-b7c6-4f9e-ab22-43d08443976e,P,R[aymundus] Paraire
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,7f668cd9-60f4-46b1-acc5-5d77c1da2dce,P,Arnaud de Planissoles
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,0a44db63-1d8c-46a2-b0f7-2a8dbfacc696,P,Beatrix
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,6a899930-97d8-425c-8c30-fceb3094461a,P,R[aymundus] de Calenx
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,617d0c72-7e7c-491b-a9bb-2571172044af,P,Amelius d'Escamlas de Vernalis
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,f23c9e8a-2666-4419-a4f4-a1d4c186c130,P,P[etrus] d'Escalas
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,f02f8616-e8b8-4573-a4f7-32090100aa83,P,B[ernardus] d'Escalas
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,f357ab0c-c324-4008-bb70-c7f7cd582993,P,P[etrus] de Fonte de Vernaux
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,c8600dce-5283-4274-a960-2e1209ace3fd,P,R[aymundus] Garano
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,0d3ec503-59ec-4750-9ff3-4cb1747bca04,P,Arnaudus Poncii de Vernaus
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,aae2357e-ddca-4ae0-a993-5bd58ceff359,P,P[etrus] Carol
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,ec7bdfaf-6290-4df0-af4f-a6ffa535d0b2,P,Willelmus Escola de Perlas
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,b03b8a04-95a4-456b-865b-76f3b92f5927,P,Petrus de la Cauna
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,62cc177f-58b4-4a2f-aac6-d8eefbea2d28,P,Brunissendis
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,c8e568c3-1e89-4b54-9a94-6bbb74a5ab86,P,Atho Guilha
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,1d586a63-5f9d-46a2-b573-6894091bdeee,C,mentioned,7f629126-3bc9-4303-8d23-35790c29f3b6,P,Raymundus de Planissolas
